"REP_treat","time_treat","status","antID","tagIDdecimal","identifStart","identifEnd","AntTask1perc","prop_time_outside","box","colony_size","treatment","Comment","Exposed","IsAlive","IsQueen","surviv_time","tag_reoriented","N_exposed","exp_start","exp_end","pre_start","pre_end","middle_start","middle_end","post_start","post_end"
"DF_alleline_c05","DF","Day",37,905,NA,NA,"nurse",0.002,"alleline",105,"Pathogen",NA,FALSE,TRUE,FALSE,2022-11-01 18:33:43,FALSE,5,2022-10-31 08:00:00,2022-11-01 18:30:00,2022-10-31 09:30:00,2022-10-31 18:30:00,2022-10-31 21:30:00,2022-11-01 06:30:00,2022-11-01 09:30:00,2022-11-01 18:30:00
"DF_alleline_c05","DF","Day",38,906,NA,NA,"forager",0.095,"alleline",105,"Pathogen",NA,FALSE,TRUE,FALSE,2022-11-01 18:33:43,FALSE,5,2022-10-31 08:00:00,2022-11-01 18:30:00,2022-10-31 09:30:00,2022-10-31 18:30:00,2022-10-31 21:30:00,2022-11-01 06:30:00,2022-11-01 09:30:00,2022-11-01 18:30:00
"DF_alleline_c05","DF","Day",39,957,NA,NA,"nurse",0,"alleline",105,"Pathogen",NA,FALSE,TRUE,FALSE,2022-11-01 18:33:43,FALSE,5,2022-10-31 08:00:00,2022-11-01 18:30:00,2022-10-31 09:30:00,2022-10-31 18:30:00,2022-10-31 21:30:00,2022-11-01 06:30:00,2022-11-01 09:30:00,2022-11-01 18:30:00
"DF_alleline_c05","DF","Day",40,983,NA,NA,"nurse",0,"alleline",105,"Pathogen",NA,FALSE,TRUE,FALSE,2022-11-01 18:33:43,FALSE,5,2022-10-31 08:00:00,2022-11-01 18:30:00,2022-10-31 09:30:00,2022-10-31 18:30:00,2022-10-31 21:30:00,2022-11-01 06:30:00,2022-11-01 09:30:00,2022-11-01 18:30:00
"DF_alleline_c05","DF","Day",41,1055,NA,NA,"nurse",0,"alleline",105,"Pathogen",NA,FALSE,TRUE,FALSE,2022-11-01 18:33:43,FALSE,5,2022-10-31 08:00:00,2022-11-01 18:30:00,2022-10-31 09:30:00,2022-10-31 18:30:00,2022-10-31 21:30:00,2022-11-01 06:30:00,2022-11-01 09:30:00,2022-11-01 18:30:00
"DF_alleline_c05","DF","Day",42,1089,NA,NA,"nurse",0,"alleline",105,"Pathogen",NA,FALSE,FALSE,FALSE,NA,FALSE,5,2022-10-31 08:00:00,2022-11-01 18:30:00,2022-10-31 09:30:00,2022-10-31 18:30:00,2022-10-31 21:30:00,2022-11-01 06:30:00,2022-11-01 09:30:00,2022-11-01 18:30:00
"DF_alleline_c05","DF","Day",43,1147,NA,NA,"nurse",0,"alleline",105,"Pathogen",NA,FALSE,TRUE,FALSE,2022-11-01 18:33:43,FALSE,5,2022-10-31 08:00:00,2022-11-01 18:30:00,2022-10-31 09:30:00,2022-10-31 18:30:00,2022-10-31 21:30:00,2022-11-01 06:30:00,2022-11-01 09:30:00,2022-11-01 18:30:00
"DF_alleline_c05","DF","Day",44,1195,NA,NA,"forager",0.124,"alleline",105,"Pathogen",NA,FALSE,TRUE,FALSE,2022-11-01 18:33:43,FALSE,5,2022-10-31 08:00:00,2022-11-01 18:30:00,2022-10-31 09:30:00,2022-10-31 18:30:00,2022-10-31 21:30:00,2022-11-01 06:30:00,2022-11-01 09:30:00,2022-11-01 18:30:00
"DF_alleline_c05","DF","Day",45,1199,NA,NA,"nurse",0,"alleline",105,"Pathogen",NA,FALSE,TRUE,FALSE,2022-11-01 18:33:43,FALSE,5,2022-10-31 08:00:00,2022-11-01 18:30:00,2022-10-31 09:30:00,2022-10-31 18:30:00,2022-10-31 21:30:00,2022-11-01 06:30:00,2022-11-01 09:30:00,2022-11-01 18:30:00
"DF_alleline_c05","DF","Day",46,1208,NA,NA,"nurse",0,"alleline",105,"Pathogen",NA,FALSE,TRUE,FALSE,2022-11-01 18:33:43,FALSE,5,2022-10-31 08:00:00,2022-11-01 18:30:00,2022-10-31 09:30:00,2022-10-31 18:30:00,2022-10-31 21:30:00,2022-11-01 06:30:00,2022-11-01 09:30:00,2022-11-01 18:30:00
"DF_alleline_c05","DF","Day",47,1247,NA,NA,"nurse",0,"alleline",105,"Pathogen",NA,FALSE,TRUE,FALSE,2022-11-01 18:33:43,FALSE,5,2022-10-31 08:00:00,2022-11-01 18:30:00,2022-10-31 09:30:00,2022-10-31 18:30:00,2022-10-31 21:30:00,2022-11-01 06:30:00,2022-11-01 09:30:00,2022-11-01 18:30:00
"DF_alleline_c05","DF","Day",48,1310,NA,NA,"nurse",0.001,"alleline",105,"Pathogen",NA,FALSE,TRUE,FALSE,2022-11-01 18:33:43,FALSE,5,2022-10-31 08:00:00,2022-11-01 18:30:00,2022-10-31 09:30:00,2022-10-31 18:30:00,2022-10-31 21:30:00,2022-11-01 06:30:00,2022-11-01 09:30:00,2022-11-01 18:30:00
"DF_alleline_c05","DF","Day",49,1324,NA,NA,"forager",0.45,"alleline",105,"Pathogen",NA,TRUE,TRUE,FALSE,2022-11-01 18:33:43,FALSE,5,2022-10-31 08:00:00,2022-11-01 18:30:00,2022-10-31 09:30:00,2022-10-31 18:30:00,2022-10-31 21:30:00,2022-11-01 06:30:00,2022-11-01 09:30:00,2022-11-01 18:30:00
"DF_alleline_c05","DF","Day",50,1337,NA,NA,"nurse",0,"alleline",105,"Pathogen",NA,FALSE,TRUE,FALSE,2022-11-01 18:33:43,FALSE,5,2022-10-31 08:00:00,2022-11-01 18:30:00,2022-10-31 09:30:00,2022-10-31 18:30:00,2022-10-31 21:30:00,2022-11-01 06:30:00,2022-11-01 09:30:00,2022-11-01 18:30:00
"DF_alleline_c05","DF","Day",51,1360,NA,NA,"nurse",0,"alleline",105,"Pathogen",NA,FALSE,TRUE,FALSE,2022-11-01 18:33:43,FALSE,5,2022-10-31 08:00:00,2022-11-01 18:30:00,2022-10-31 09:30:00,2022-10-31 18:30:00,2022-10-31 21:30:00,2022-11-01 06:30:00,2022-11-01 09:30:00,2022-11-01 18:30:00
"DF_alleline_c05","DF","Day",52,1363,NA,NA,"nurse",0,"alleline",105,"Pathogen",NA,FALSE,TRUE,FALSE,2022-11-01 18:33:43,FALSE,5,2022-10-31 08:00:00,2022-11-01 18:30:00,2022-10-31 09:30:00,2022-10-31 18:30:00,2022-10-31 21:30:00,2022-11-01 06:30:00,2022-11-01 09:30:00,2022-11-01 18:30:00
"DF_alleline_c05","DF","Day",53,1389,NA,NA,"nurse",0,"alleline",105,"Pathogen",NA,FALSE,TRUE,FALSE,2022-11-01 18:33:43,FALSE,5,2022-10-31 08:00:00,2022-11-01 18:30:00,2022-10-31 09:30:00,2022-10-31 18:30:00,2022-10-31 21:30:00,2022-11-01 06:30:00,2022-11-01 09:30:00,2022-11-01 18:30:00
"DF_alleline_c05","DF","Day",54,1420,NA,NA,"nurse",0,"alleline",105,"Pathogen",NA,FALSE,TRUE,FALSE,2022-11-01 18:33:43,FALSE,5,2022-10-31 08:00:00,2022-11-01 18:30:00,2022-10-31 09:30:00,2022-10-31 18:30:00,2022-10-31 21:30:00,2022-11-01 06:30:00,2022-11-01 09:30:00,2022-11-01 18:30:00
"DF_alleline_c05","DF","Day",55,1492,NA,NA,"nurse",0,"alleline",105,"Pathogen",NA,FALSE,TRUE,FALSE,2022-11-01 18:33:43,FALSE,5,2022-10-31 08:00:00,2022-11-01 18:30:00,2022-10-31 09:30:00,2022-10-31 18:30:00,2022-10-31 21:30:00,2022-11-01 06:30:00,2022-11-01 09:30:00,2022-11-01 18:30:00
